Sites,Date,W_temp,pH,CODMn,NH4-N,F,As,Cd,Cn_total,V_phen,Oils,An_SAA,Colo_org,SO4,Cl,NO3_n,W_Fe,W_Mn,Transp,Chl_a,Turbid,Warning,PRI_c,PRI_f,PRI_d,PRI_a,Type,PRI
Demo,2020/1/9,0.0,7.12,5.9,0.095,0.006,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,8.83,1.94,1.44,0.03,0.01,,8,,Fail,,,,,,
Demo,2020/2/7,0.0,7.31,5.8,0.089,0.068,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,10.3,2.31,1.58,0.03,0.01,,8,,Fail,,,,,,
Demo,2020/3/13,0.0,7.0,5.5,0.083,0.064,0.0003,0.0001,0.001,0.002,0.01,0.05,,8.9,2.23,1.51,0.03,0.01,,5,,Fail,,,,,,
Demo,2020/4/10,4.0,7.4,5.2,0.03,0.087,0.0003,0.0001,0.001,0.0003,0.01,0.05,,7.71,1.86,1.73,0.07,0.01,,0,,Fail,,,,,,
Demo,2020/5/6,10.0,7.62,5.0,0.18,0.053,0.0003,0.0001,0.001,0.0003,0.01,0.05,,7.6,1.97,1.29,0.12,0.01,,10,,Fail,,,,,,
Demo,2020/6/5,18.0,7.86,4.8,0.032,0.16,0.0003,0.0001,0.001,0.0003,0.01,0.05,,7.39,1.91,1.65,0.03,0.01,150.0,14,2.1728536473768223,Fail,,,,,,
Demo,2020/7/7,22.8,8.95,4.8,0.025,0.058,0.0003,0.0001,0.001,0.0003,0.01,0.05,,7.62,2.16,1.27,0.04,0.01,145.0,8,2.288687537827298,Fail,,,,,,
Demo,2020/8/5,26.1,8.46,4.2,0.04,0.071,0.0003,0.0001,0.001,0.0003,0.01,0.05,200.0,6.92,1.7,1.12,0.03,0.01,120.0,6,3.058416410579142,Pass,9.179681891147123,1.185331966967966,0.2215345368419752,1.4000000000000001,b,10.59b
Demo,2020/9/3,22.2,8.06,4.1,0.025,0.053,0.0003,0.0001,0.001,0.0003,0.01,0.05,200.0,6.62,1.59,1.49,0.03,0.01,120.0,2,3.058416410579142,Pass,8.884198985890327,1.185331966967966,0.18334596196324499,1.3666666666666665,b,10.25b
Demo,2020/10/13,11.7,7.84,5.1,0.05,0.054,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,6.56,1.47,1.29,0.12,0.01,120.0,5,3.058416410579142,Pass,10.148034583686416,1.335058248590892,0.7809585310492352,1.6999999999999997,b,12.26b
Demo,2020/11/5,8.8,7.64,5.0,0.07,0.073,0.0003,0.0001,0.001,0.0003,0.01,0.05,200.0,6.94,3.29,1.3,0.1,0.01,120.0,2,3.058416410579142,Pass,9.957419395501518,1.185331966967966,1.3472143400975276,1.6666666666666665,b,12.49b
Demo,2020/12/3,3.1,7.67,6.0,0.13,0.094,0.0003,0.0001,0.001,0.0003,0.01,0.05,200.0,7.41,2.13,1.35,0.06,0.01,120.0,2,3.058416410579142,Pass,10.475001205753175,1.185331966967966,3.7715204299526306,2.0,c,15.43c
Demo,2021/1/6,1.3,7.5,4.7,0.053,0.098,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,7.26,1.74,1.32,0.12,0.01,,2,,Fail,,,,,,
Demo,2021/2/25,0.5,7.25,5.3,0.025,0.088,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,7.11,1.64,1.15,0.03,0.01,,8,,Fail,,,,,,
Demo,2021/3/9,4.1,7.12,5.2,0.078,0.106,0.0003,5e-05,0.001,0.002,0.01,0.05,200.0,6.65,2.01,0.993,0.03,0.01,,4,,Fail,,,,,,
Demo,2021/4/6,2.6,7.24,5.0,0.025,0.069,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,7.05,1.76,1.38,0.03,0.01,,12,,Fail,,,,,,
Demo,2021/5/7,8.1,7.31,4.6,0.08,0.026,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,6.97,1.71,1.02,0.06,0.01,210.0,4,1.2976642037604385,Pass,5.666834299998259,0.7481408463179906,1.6192618567822687,1.5333333333333332,b,8.03b
Demo,2021/6/1,16.2,7.5,5.4,0.045,0.063,0.0003,0.0001,0.001,0.002,0.01,0.05,200.0,6.73,3.3,1.18,0.03,0.01,210.0,2,1.2976642037604385,Pass,5.203089984222833,0.7481408463179906,0.5083456021829685,1.8000000000000003,b,6.46b
Demo,2021/7/5,23.7,7.6,4.5,0.095,0.042,0.0003,0.0001,0.001,0.0003,0.01,0.05,200.0,6.65,1.46,1.17,0.03,0.01,180.0,2,1.6433300863028832,Pass,5.882815899085616,0.7136365255425463,0.6253903015787153,1.5,b,7.22b
Demo,2021/8/5,26.0,7.6,4.3,0.042,0.058,0.0003,0.0001,0.001,0.0003,0.01,0.05,200.0,6.52,1.57,0.852,0.03,0.01,150.0,6,2.1728536473768223,Pass,7.347889930677886,0.8901443792338594,0.23429210856291954,1.4333333333333333,b,8.47b
Demo,2021/9/8,22.8,6.94,4.6,0.122,0.04,0.0003,0.0005,0.001,0.0003,0.01,0.05,200.0,6.11,2.04,0.643,0.03,0.01,100.0,8,4.0439174748360225,Pass,11.490172891288504,1.5138323217202596,0.8568990272578831,1.5333333333333332,b,13.86b
Demo,2021/10/11,15.5,6.78,4.5,0.194,0.05,0.0003,0.0005,0.001,0.0003,0.01,0.05,200.0,7.82,1.13,0.663,0.03,0.01,100.0,9,4.0439174748360225,Pass,12.189483413035896,1.5138323217202596,2.3048184869826738,1.5,b,16.01b
Demo,2021/11/4,9.6,7.3,4.3,0.134,0.17,0.0003,0.0005,0.001,0.0003,0.01,0.05,200.0,6.45,1.08,0.583,0.03,0.01,150.0,8,2.1728536473768223,Pass,8.326664244115914,0.8901443792338594,2.434602665229044,1.4333333333333333,b,11.65b
Demo,2021/12/7,0.4,6.4,4.3,0.14,0.18,0.0003,0.0005,0.001,0.0003,0.01,0.05,200.0,6.76,2.02,0.769,0.03,0.01,120.0,7,3.058416410579142,Pass,11.706042524222868,1.185331966967966,4.933191735274906,1.4333333333333333,b,17.82b
