Pollutant,Value,Weight,Distribution,,,,,
Phenol,1.46,0.165653935,22.9,,,,,
o-Cresol,1.95,0.017867477,2.47,,,,,
m-Cresol,1.96,0.019458912,2.69,,,,,
p-Cresol,1.94,0.020905671,2.89,,,,,
2-Nitrophenol,1.79,0.225694444,31.2,,,,,
4-Nitrophenol,1.91,0.171440972,23.7,,,,,
"2,6-Dichlorophenol",2.75,0.036892361,5.1,,,,,
"2,4-Dichlorophenol",3.06,0.075954861,10.5,,,,,
"2,4,6-Trichlorophenol",3.69,0.054253472,7.5,,,,,
"2,4,5-Trichlorophenol",3.72,0.055483218,7.67,,,,,
"2,3,5,6-Tetrachlorophenol",3.88,0.024088542,3.33,,,,,
"2,3,4,6-Tetrachlorophenol",4.45,0.017650463,2.44,,,,,
"2,3,4,5-Tetrachlorophenol",4.21,0.022786458,3.15,,,,,
Pentachlorophenol,5.12,0.091869213,12.7,,,,,
Sodium 1-dodecanesulfonate,0.96,,,,,,,
Hexadecane,8.57,0.333333333,1,,,,,
n-Nonane,5.55,0.333333333,1,,,,,
n-Tetracosane,11.9,0.333333333,1,,,,,
